Time,Ay,Vx,Station,Cronometro,AV_Eng,AV_TC,AV_Trans
         7.54, -1.99564301968, 48.1097412109, 93.0074768066, 2.66499996185, 13627.6611328, 13627.6611328, 2672.23925781
        7.541, -1.99561715126, 48.1097564697, 93.0208587646, 2.66599988937, 13627.6601562, 13627.6601562, 2672.23632812
        7.542, -1.99559521675, 48.1097755432, 93.0342330933, 2.66700005531, 13627.6591797, 13627.6591797, 2672.23339844
        7.543, -1.99557721615,  48.109790802, 93.0476150513, 2.66799998283, 13627.6572266, 13627.6572266, 2672.22998047
        7.544, -1.99556314945, 48.1098098755, 93.0609970093, 2.66899991035,   13627.65625,   13627.65625,  2672.2265625
        7.545, -1.99555289745, 48.1098251343, 93.0743789673, 2.67000007629, 13627.6542969, 13627.6542969, 2672.22265625
        7.546, -1.99554634094, 48.1098442078, 93.0877532959, 2.67100000381, 13627.6533203, 13627.6533203, 2672.21850586
        7.547, -1.99554383755, 48.1098632812, 93.1011352539, 2.67199993134, 13627.6523438, 13627.6523438, 2672.21411133
        7.548, -1.99554538727,   48.10987854, 93.1145172119, 2.67300009727, 13627.6513672, 13627.6513672,  2672.2097168
        7.549, -1.9955508709, 48.1098976135, 93.1278991699,  2.6740000248, 13627.6494141, 13627.6494141, 2672.20507812
         7.55, -1.99556028843,  48.109916687, 93.1412811279, 2.67499995232, 13627.6484375, 13627.6484375, 2672.19995117
        7.551, -1.99557375908, 48.1099357605, 93.1546554565, 2.67600011826, 13627.6474609, 13627.6474609, 2672.19482422
        7.552, -1.99559104443, 48.1099586487, 93.1680374146, 2.67700004578, 13627.6455078, 13627.6455078, 2672.18945312
        7.553, -1.99561226368, 48.1099777222, 93.1814193726,  2.6779999733, 13627.6445312, 13627.6445312, 2672.18408203
        7.554, -1.99563741684, 48.1100006104, 93.1948013306, 2.67899990082, 13627.6425781, 13627.6425781,  2672.1784668
        7.555, -1.99566626549, 48.1100196838, 93.2081832886, 2.68000006676, 13627.6416016, 13627.6416016, 2672.17260742
        7.556, -1.99569880962,  48.110042572, 93.2215576172, 2.68099999428, 13627.6396484, 13627.6396484, 2672.16650391
