TIME,RPM,TPS,Marcha,Distância,Velocidade_de_referência
8.940,3189,2.2,0,0.00,0.0
8.980,3100,3.3,0,0.00,0.0
9.020,3186,3.7,0,0.00,0.0
9.060,3305,4.4,0,0.00,0.0
9.100,3343,5.1,0,0.00,0.0
9.140,3443,5.4,0,0.00,0.0
9.180,3394,5.3,0,0.00,0.0
9.220,3481,4.8,0,0.00,0.0
9.260,3466,4.8,0,0.00,0.0
9.300,3582,4.6,0,0.00,0.0
9.340,3708,1.5,0,0.00,0.0
9.380,3817,0.9,0,0.00,0.0
9.420,3914,0.8,0,0.00,0.0
9.460,3755,0.8,0,0.00,0.0
9.500,3485,0.7,0,0.00,0.0
9.540,3252,0.7,0,0.00,0.0
9.580,3048,0.7,0,0.00,0.0
9.620,2917,0.9,0,0.00,0.0
9.660,2745,0.9,0,0.00,0.0
9.700,2737,1.0,0,0.00,0.0
9.740,2765,1.1,0,0.00,0.0
9.780,2840,1.0,0,0.00,0.0
9.820,2965,1.1,0,0.00,0.0
9.860,3148,1.1,0,0.00,0.0
9.900,3131,1.1,0,0.00,0.0
9.940,3015,1.1,0,0.00,0.0
9.980,3117,1.1,0,0.00,0.0
10.020,3020,1.1,0,0.00,0.0
10.060,2922,1.1,0,0.00,0.0
10.100,3130,1.1,0,0.00,0.0
10.140,3017,1.3,0,0.00,0.0
10.180,2992,3.1,0,0.00,0.0
10.220,3140,5.9,0,0.00,0.0
10.260,3133,7.9,0,0.00,0.0
10.300,3160,10.0,0,0.00,0.0
10.340,3371,11.3,0,0.00,0.0
10.380,3474,11.8,0,0.00,0.0
10.420,4157,12.5,0,0.00,0.0
10.460,4647,12.8,0,0.00,0.0
10.500,5213,12.9,0,0.00,0.0
10.540,5595,12.9,0,0.00,0.0
10.580,5646,13.0,0,0.00,0.0
10.620,5344,13.0,0,0.00,0.0
10.660,5105,12.6,0,0.00,0.0
10.700,4934,7.9,0,0.00,0.0
10.740,4640,4.8,0,0.00,0.0
10.780,4418,4.1,0,0.00,0.0
10.820,4239,4.0,0,0.00,0.0
10.860,4094,4.3,0,0.00,0.0
10.900,3932,4.6,0,0.00,0.0
10.940,3919,5.4,0,0.00,0.0
10.980,3889,7.4,0,0.00,0.0
11.020,3823,9.6,0,0.00,0.0
11.060,3939,11.6,0,0.00,0.0
11.100,4149,13.4,0,0.00,0.0
11.140,4337,14.4,0,0.00,0.0
11.180,4686,14.6,0,0.00,0.0
11.220,5085,14.6,0,0.00,0.0
11.260,5388,14.7,0,0.00,0.0
11.300,5574,14.7,0,0.00,0.0
11.340,5391,14.7,0,0.00,0.0
11.380,5177,14.8,0,0.00,0.0
11.420,5007,14.8,0,0.00,0.0
11.460,4907,14.9,0,0.00,0.0
11.500,4984,14.8,0,0.00,0.0
11.540,5264,14.8,0,0.00,0.0
11.580,5373,14.7,0,0.00,0.0
11.620,5474,14.7,0,0.00,0.0
11.660,5463,13.5,0,0.00,0.0
11.700,5390,8.4,0,0.00,0.0
11.740,5210,6.6,0,0.00,0.0
11.780,4917,6.4,0,0.01,0.4
11.820,4589,6.3,0,0.01,0.4
11.860,4268,6.1,0,0.02,0.4
11.900,3948,6.1,0,0.02,0.7
11.940,3862,6.0,0,0.04,0.8
11.980,3871,6.0,0,0.05,1.2
12.020,3659,6.1,0,0.06,1.3
12.060,3382,6.1,0,0.08,1.7
12.100,3117,6.1,0,0.11,1.8
12.140,2943,6.1,0,0.13,2.2
12.180,2562,6.1,0,0.16,2.2
12.220,2508,6.1,0,0.18,2.5
12.260,2816,6.2,0,0.21,2.8
12.300,2979,6.1,0,0.25,2.8
12.340,3264,6.3,0,0.28,3.0
12.380,3311,6.9,0,0.32,3.2
12.420,3294,7.1,0,0.35,3.2
12.460,3244,7.6,0,0.39,3.4
12.500,3236,7.6,0,0.43,3.6
12.540,3106,7.8,0,0.47,3.8
12.580,3198,7.8,0,0.52,4.0
12.620,3079,7.8,0,0.56,4.1
12.660,3162,7.8,0,0.61,4.1
12.700,3321,7.9,0,0.66,4.3
12.740,3381,8.2,0,0.71,4.5
12.780,3613,8.3,0,0.76,4.7
12.820,3652,8.4,0,0.82,4.8
12.860,3904,8.5,0,0.87,5.0
12.900,4190,8.5,0,0.93,5.1
12.940,4232,8.5,0,0.99,5.3
12.980,4340,8.6,0,1.05,5.6
13.020,4490,8.7,0,1.12,5.7
13.060,4613,8.6,0,1.18,5.9
13.100,4657,8.6,0,1.25,6.0
13.140,4730,8.6,0,1.32,6.2
13.180,4820,8.6,0,1.39,6.4
13.220,4852,7.7,0,1.46,6.6
13.260,4717,2.8,0,1.54,6.7
13.300,4285,1.2,0,1.62,7.1
13.340,3893,0.9,0,1.70,7.2
13.380,3486,0.9,0,1.78,7.5
13.420,3055,0.9,0,1.87,7.5
13.460,2773,0.9,0,1.95,7.8
13.500,2255,0.8,0,2.04,7.8
13.540,1960,0.9,0,2.13,8.1
13.580,1704,0.8,0,2.22,8.2
13.620,1411,0.9,0,2.32,8.3
13.660,1349,0.9,0,2.41,8.4
13.700,1156,1.1,0,2.50,8.5
13.740,1009,1.7,0,2.60,8.6
13.780,991,2.8,0,2.69,8.5
13.820,995,4.2,0,2.79,8.5
13.860,1095,4.5,0,2.88,8.2
13.900,1149,4.8,0,2.97,8.1
13.940,1479,5.9,0,3.05,7.8
13.980,2131,6.9,0,3.14,7.8
14.020,2405,7.4,0,3.22,7.7
14.060,3127,7.7,0,3.31,7.7
14.100,3535,8.0,0,3.40,7.8
14.140,3646,8.1,0,3.49,7.9
14.180,3674,7.1,0,3.58,8.1
14.220,3987,5.0,0,3.67,8.1
14.260,4189,4.5,0,3.76,8.3
14.300,4216,4.4,0,3.85,8.5
14.340,4223,4.3,0,3.95,8.6
14.380,4161,4.2,0,4.05,8.8
14.420,3900,4.1,0,4.15,9.1
14.460,3876,3.7,0,4.25,9.3
14.500,3677,2.5,0,4.36,9.5
14.540,3473,1.3,0,4.47,9.6
14.580,3062,1.1,0,4.58,9.7
14.620,2667,1.1,0,4.68,9.8
14.660,2379,1.1,0,4.79,9.9
14.700,2119,1.1,0,4.91,10.0
14.740,1972,1.2,0,5.02,10.0
14.780,1730,1.2,0,5.13,10.1
14.820,1617,1.2,0,5.24,9.9
14.860,1544,1.1,0,5.35,9.8
14.900,1503,1.1,0,5.45,9.7
14.940,1686,1.1,0,5.56,9.6
14.980,2071,1.2,0,5.67,9.5
15.020,2414,1.2,0,5.77,9.6
15.060,3191,1.2,0,5.88,9.5
15.100,3619,1.2,0,5.98,9.5
15.140,3915,1.1,0,6.09,9.5
15.180,4088,1.1,0,6.20,9.5
15.220,4260,1.1,0,6.30,9.4
15.260,4392,0.9,0,6.40,9.4
15.300,4510,0.8,0,6.51,9.4
15.340,4489,0.8,0,6.61,9.4
15.380,4334,0.9,0,6.72,9.4
15.420,4095,0.8,0,6.82,9.4
15.460,3906,0.7,0,6.92,9.0
15.500,3778,0.7,0,7.02,8.9
15.540,3591,0.7,0,7.12,8.8
15.580,3341,0.7,0,7.21,8.7
15.620,3094,0.7,0,7.31,8.8
15.660,2953,0.7,0,7.41,9.2
15.700,2755,0.7,0,7.51,9.0
15.740,2598,0.7,0,7.61,8.9
15.780,2606,0.7,0,7.71,8.9
15.820,2598,0.7,0,7.81,8.7
15.860,2660,0.7,0,7.90,8.7
15.900,2782,0.7,0,8.00,8.5
15.940,3022,0.7,0,8.09,8.4
15.980,3184,0.7,0,8.18,8.3
16.020,3148,0.7,0,8.27,8.2
16.060,3219,0.7,0,8.36,8.1
16.100,3160,0.8,0,8.45,8.1
16.140,3192,0.7,0,8.54,8.0
16.180,3315,0.7,0,8.62,7.4
16.220,3437,0.7,0,8.70,7.2
16.260,3435,0.7,0,8.78,7.1
16.300,3513,0.7,0,8.86,6.8
16.340,3487,0.8,0,8.93,6.8
16.380,3435,0.8,0,9.01,6.7
16.420,3514,0.8,0,9.08,7.0
16.460,3524,0.7,0,9.16,6.9
16.500,3504,0.7,0,9.24,6.8
16.540,3428,0.8,0,9.31,6.7
16.580,3368,0.8,0,9.38,6.6
16.620,3382,0.7,0,9.46,6.5
16.660,3191,0.7,0,9.53,6.4
16.700,3079,0.7,0,9.60,6.3
16.740,2949,0.7,0,9.66,6.2
16.780,3078,0.7,0,9.73,6.1
16.820,3147,0.7,0,9.80,6.1
16.860,3087,0.7,0,9.86,5.9
16.900,3212,0.7,0,9.93,5.8
16.940,3134,0.7,0,9.99,5.7
16.980,3069,0.7,0,10.05,5.6
17.020,3194,0.7,0,10.12,5.5
17.060,3264,0.7,0,10.18,5.5
17.100,3317,0.7,0,10.24,5.5
17.140,3278,0.7,0,10.30,5.4
17.180,3341,0.7,0,10.35,5.0
17.220,3371,0.8,0,10.40,4.8
17.260,3356,0.8,0,10.45,4.6
17.300,3284,0.8,0,10.50,4.4
17.340,3300,0.7,0,10.55,4.4
17.380,3133,0.8,0,10.60,4.1
17.420,3204,0.7,0,10.64,3.9
17.460,3137,0.8,0,10.68,3.9
17.500,3134,0.7,0,10.72,3.6
17.540,3286,0.7,0,10.76,3.6
17.580,3276,0.7,0,10.80,3.3
17.620,3428,0.7,0,10.84,3.3
17.660,3328,0.7,0,10.87,3.5
17.700,3529,0.8,0,10.91,3.5
17.740,3415,0.7,0,10.95,3.3
17.780,3480,0.8,0,10.99,3.3
17.820,3487,0.7,0,11.02,3.1
17.860,3526,0.8,0,11.05,3.1
17.900,3555,0.7,0,11.09,2.9
17.940,3544,0.8,0,11.12,2.9
17.980,3551,0.8,0,11.15,2.9
18.020,3501,0.7,0,11.18,2.7
18.060,3545,0.8,0,11.21,2.7
18.100,3481,0.7,0,11.24,2.5
18.140,3445,0.7,0,11.27,2.5
18.180,3447,0.7,0,11.29,2.5
18.220,3488,0.7,0,11.32,2.3
18.260,3369,0.7,0,11.34,2.3
18.300,3433,0.7,0,11.37,2.3
18.340,3392,0.7,0,11.40,2.3
18.380,3341,0.7,0,11.42,2.2
18.420,3405,0.8,0,11.44,2.2
18.460,3286,0.7,0,11.47,2.2
18.500,3410,0.7,0,11.49,2.0
18.540,3420,0.7,0,11.51,2.0
18.580,3331,0.8,0,11.54,2.0
18.620,3328,0.7,0,11.56,2.0
18.660,3296,0.7,0,11.58,1.9
18.700,3160,0.7,0,11.60,1.9
18.740,3163,0.7,0,11.62,1.9
18.780,3134,0.7,0,11.64,1.9
18.820,3183,0.7,0,11.66,1.7
18.860,3256,0.7,0,11.68,1.7
18.900,3378,0.8,0,11.70,1.7
18.940,3348,0.7,0,11.72,1.7
18.980,3565,0.7,0,11.74,1.7
19.020,3458,0.7,0,11.75,1.4
19.060,3534,0.7,0,11.77,1.4
19.100,3588,0.7,0,11.77,0.3
19.140,3645,0.7,0,11.77,0.1
19.180,3771,0.7,0,11.77,0.1
19.220,3855,0.7,0,11.77,0.1
19.260,3811,0.7,0,11.77,0.1
19.300,3830,0.6,0,11.77,0.0
19.340,3678,0.7,0,11.77,0.0
19.380,3518,0.7,0,11.77,0.0
19.420,3356,0.7,0,11.77,0.0
19.460,3159,0.7,0,11.77,0.0
19.500,2957,0.7,0,11.77,0.0
19.540,2924,0.7,0,11.77,0.0
19.580,2875,0.7,0,11.77,0.0
19.620,2860,0.7,0,11.77,0.0
19.660,2826,0.7,0,11.77,0.0
19.700,2827,0.7,0,11.77,0.0
19.740,3074,0.7,0,11.77,0.0
19.780,3083,0.7,0,11.77,0.0
19.820,3111,0.7,0,11.77,0.0
19.860,3187,0.7,0,11.77,0.0
19.900,3143,0.7,0,11.77,0.0
19.940,3226,0.7,0,11.77,0.0
19.980,3298,0.7,0,11.77,0.0
20.020,3390,0.7,0,11.77,0.0
20.060,3383,0.7,0,11.77,0.0
20.100,3394,0.7,0,11.77,0.0
20.140,3410,0.7,0,11.77,0.0
20.180,3428,0.7,0,11.77,0.0
20.220,3596,0.7,0,11.77,0.0
20.260,3575,0.7,0,11.77,0.0
20.300,3585,0.7,0,11.77,0.0
20.340,3531,0.7,0,11.77,0.0
20.380,3410,0.7,0,11.77,0.0
20.420,3413,0.7,0,11.77,0.0
20.460,3450,0.7,0,11.77,0.0
20.500,3286,0.7,0,11.77,0.0
20.540,3398,0.7,0,11.77,0.0
20.580,3305,0.7,0,11.77,0.0
20.620,3304,0.7,0,11.77,0.0
20.660,3278,0.6,0,11.77,0.0
20.700,3352,0.7,0,11.77,0.0
20.740,3258,0.7,0,11.77,0.0
20.780,3269,0.7,0,11.77,0.0
20.820,3146,0.7,0,11.77,0.0
20.860,3124,0.7,0,11.77,0.0
20.900,3210,0.7,0,11.77,0.0
20.940,3252,0.7,0,11.77,0.0
20.980,3444,0.7,0,11.77,0.0
21.020,3505,0.7,0,11.77,0.0
21.060,3469,0.7,0,11.77,0.0
21.100,3612,0.7,0,11.77,0.0
21.140,3820,0.7,0,11.77,0.0
21.180,3992,0.7,0,11.77,0.0
21.220,4066,0.7,0,11.77,0.0
21.260,4002,0.7,0,11.77,0.0
21.300,3886,0.7,0,11.77,0.0
21.340,3796,0.7,0,11.77,0.0
21.380,3683,0.7,0,11.77,0.0
21.420,3523,0.7,0,11.77,0.0
21.460,3297,0.7,0,11.77,0.0
21.500,3120,0.7,0,11.77,0.0
21.540,2901,0.7,0,11.77,0.0
21.580,2889,0.7,0,11.77,0.0
21.620,2810,0.7,0,11.77,0.0
21.660,2778,0.7,0,11.77,0.0
21.700,2815,0.7,0,11.77,0.0
21.740,2817,0.7,0,11.77,0.0
21.780,3083,0.7,0,11.77,0.0
21.820,3341,0.7,0,11.77,0.0
21.860,3311,0.7,0,11.77,0.0
21.900,3269,0.7,0,11.77,0.0
21.940,3273,0.7,0,11.77,0.0
21.980,3415,0.7,0,11.77,0.0
22.020,3374,0.8,0,11.77,0.0
22.060,3445,0.7,0,11.77,0.0
22.100,3430,0.7,0,11.77,0.0
22.140,3396,0.7,0,11.77,0.0
22.180,3379,0.7,0,11.77,0.0
22.220,3345,0.7,0,11.77,0.0
22.260,3337,0.7,0,11.77,0.0
22.300,3376,0.7,0,11.77,0.0
22.340,3264,0.7,0,11.77,0.0
22.380,3275,0.6,0,11.77,0.0
22.420,3298,0.7,0,11.77,0.0
22.460,3287,0.6,0,11.77,0.0
22.500,3264,0.7,0,11.77,0.0
22.540,3327,0.7,0,11.77,0.0
22.580,3473,0.7,0,11.77,0.0
22.620,3389,0.7,0,11.77,0.0
22.660,3569,0.7,0,11.77,0.0
22.700,3554,0.7,0,11.77,0.0
22.740,3773,0.7,0,11.77,0.0
22.780,4031,0.7,0,11.77,0.0
22.820,4030,0.7,0,11.77,0.0
22.860,4002,0.7,0,11.77,0.0
22.900,3976,0.7,0,11.77,0.0
22.940,3894,0.7,0,11.77,0.0
22.980,3785,0.7,0,11.77,0.0
23.020,3610,0.7,0,11.77,0.0
23.060,3412,0.7,0,11.77,0.0
23.100,3209,0.7,0,11.77,0.0
23.140,2995,0.7,0,11.77,0.0
23.180,2869,0.7,0,11.77,0.0
23.220,2804,0.7,0,11.77,0.0
23.260,2711,0.7,0,11.77,0.0
23.300,2672,0.7,0,11.77,0.0
23.340,2898,0.7,0,11.77,0.0
23.380,3146,0.8,0,11.77,0.0
23.420,3315,0.9,0,11.77,0.0
23.460,3240,1.0,0,11.77,0.0
23.500,3333,1.2,0,11.77,0.0
23.540,3408,1.5,0,11.77,0.0
23.580,3307,2.7,0,11.77,0.0
23.620,3292,5.3,0,11.77,0.0
23.660,3273,8.8,0,11.77,0.0
23.700,3188,11.3,0,11.77,0.0
23.740,3319,13.0,0,11.77,0.0
23.780,3690,14.6,0,11.77,0.0
23.820,4224,16.6,0,11.77,0.0
23.860,4825,18.3,0,11.77,0.0
23.900,5396,19.6,0,11.77,0.0
23.940,6068,20.6,0,11.77,0.0
23.980,6145,21.9,0,11.77,0.0
24.020,6169,22.8,0,11.77,0.0
24.060,6285,23.6,0,11.77,0.0
24.100,6422,25.0,0,11.77,0.0
24.140,6645,26.3,0,11.77,0.0
24.180,6914,27.3,0,11.77,0.0
24.220,7214,28.4,0,11.77,0.0
24.260,7611,30.3,0,11.77,0.0
24.300,7978,33.1,0,11.77,0.0
24.340,8635,36.7,0,11.77,0.0
24.380,9291,40.4,0,11.77,0.0
24.420,9960,43.7,0,11.77,0.0
24.460,10473,46.3,0,11.77,0.0
24.500,11186,47.4,0,11.77,0.0
24.540,11821,47.6,0,11.77,0.0
24.580,12382,48.4,0,11.77,0.0
24.620,12574,49.8,0,11.77,0.0
24.660,12575,53.7,0,11.77,0.0
24.700,12582,58.7,0,11.77,0.0
24.740,12472,64.4,0,11.77,0.0
24.780,12367,68.8,0,11.77,0.0
24.820,11302,70.6,0,11.77,0.0
24.860,10423,71.8,0,11.77,0.0
24.900,10171,74.7,0,11.77,0.0
24.940,10626,81.1,0,11.77,0.0
24.980,11041,89.4,0,11.78,0.4
25.020,11367,98.1,0,11.79,1.0
25.060,11589,99.8,0,11.82,1.7
25.100,11628,99.9,0,11.85,2.8
25.140,11737,99.9,0,11.90,3.9
25.180,11876,100.0,0,11.97,5.6
25.220,12103,100.0,0,12.04,6.3
25.260,12133,100.0,0,12.12,7.1
25.300,12040,99.9,0,12.21,7.7
25.340,12077,100.0,0,12.30,8.6
25.380,12064,100.0,0,12.41,9.4
25.420,12092,99.8,0,12.53,10.3
25.460,12101,99.8,0,12.65,11.2
25.500,12062,100.0,0,12.79,12.2
25.540,11964,100.0,0,12.94,13.4
25.580,11818,99.9,0,13.11,14.6
25.620,11849,99.9,0,13.28,15.7
25.660,11767,100.0,0,13.47,16.7
25.700,11613,100.0,0,13.67,17.6
25.740,11475,100.0,0,13.88,18.5
25.780,11293,99.8,0,14.10,19.4
25.820,11146,96.8,0,14.33,20.5
25.860,11020,94.5,0,14.58,21.8
25.900,11099,93.7,0,14.84,23.2
